contributor,country,title,author,link,link_english,summary
Cynthia Khoo,Canada,Limitation Where Author Is First Owner of Copyright: Reversionary Interest in the Copyright: Some Comments on Section 14 of the Canadian Copyright Act,"Laurent Carrière, Robic LLP",https://www.robic.ca/wp-content/uploads/2017/05/302-LC.pdf,,"Review of legislative provisions, legislative history, defines phrases in relevant provisions, explanation on date distinctions (""after June 4, 1921""), sets out exceptions, reviews related Canadian case law, reviews United Kingdom case law."
Lucie Guibault,Netherlands,"Private International Law Aspects of Authors’ Contracts: The Dutch and French Examples, 39 COLUM.J.L. & ARTS 171 (2015)",C. Ginsburg and Pierre Sirinelli,https://lawandarts.org/wp-content/uploads/sites/14/2016/01/2-39.2-Ginsburg-Sirinelli.pdf,,""" [175] The law reverts rights to the author upon notifying the grantee “if the other party to the contract does not sufficiently exploit the copyright to the work within a reasonable period after having concluded the contract, or does not sufficiently exploit the copyright after having initially performed acts of exploitation.”16 While the reversion right may not be waived, the law does not define these terms. Perhaps the dispute resolution committees the law establishes will resolve these and other issues that the law leaves open."""
Lucie Guibault,Netherlands,"Towards Author’s Paradise: The new Dutch Act on Authors’ Contracts, in G. Karnell, A. Kur, P-J. Nordell, J. Axhamn, S. Carlsson (ed.), eddy.se ab, Visby (eds), Liber Amicorum Jan Rosen, 2016, pp. 397-407",P. Bernt Hugenholtz,https://www.ivir.nl/publicaties/download/1729.pdf,,"""[404] Art. 25e establishes the right to dissolve an exploitation contract in case of non-usus. This ‘use-it-or-lose-it’ provision allows authors to terminate an agreement if the ‘exploiter’ of his work fails to “sufficiently exploit the copyright in the work within a reasonable period after having concluded the contract, or does not sufficiently exploit the copyright after having initially performed acts of exploitation.” The Explanatory Memorandum accompanying the bill offers an interesting economic argument for this legislative intervention. By allowing authors to recover rights not properly exploited, unused catalogs of rights will be revived and competition between intermediaries will be enhanced. A termination of transfer does not require judicial intervention; a written notice to the author’s counterpart will suffice. The assignee will thereafter have the burden of proving that he has sufficiently exploited the work. Upon termination, the assignee is obliged to transfer the right back to the author. Authors may also invoke the right of termination and reversion against third party rightholders."""
Lucie Guibault,Netherlands,New copyright contract law aims to improve position of authors and performing artists,De Brauw Blackstone Westbroek,https://www.debrauw.com/newsletter/new-copyright-contract-law-aims-improve-position-authors-performing-artists/?output=pdf,,"""Non-use clause If the producer does not exploit the author’s work within a reasonable period, the author has the right to terminate the agreement. But this right can only be invoked if the author alerts the producer in writing, granting the author the opportunity to exploit or re-exploit the work within a reasonable period following the notice (unless exploitation is no longer possible). The non-use clause does not apply if the non-exploitation can be attributed to the author or if the producer has a major interest in continuing the contract that overrules the author’s interests, all according to the principles of reasonableness and fairness. In practice, interpretation issues can be avoided by adding a clause that specifies what parties consider a reasonable period. The non-use clause applies retroactively."""
Lucie Guibault,Netherlands,"Annotatie op ""Nanada/Golden Earring Hoge Raad 7 juli 2017, ECLI:NL:HR:2017:1270""",P. Bernt Hugenholtz,https://www.ivir.nl/publicaties/download/Annotatie_AMI_2018_2.pdf,,"""Publishing contracts which have been concluded for an indefinite period can in principle be canceled, with transferred rights being returned. The judgment also teaches that authors and artists who want to put an end to exploitation agreements do not need to rely only on the new copyright contract law. Next to the arsenal of mandatory provisions of Chapter Ia Copyright Act (right to equitable remuneration, best seller determination, non-usus rule and invalidation of unreasonably onerous clauses) the general rules of law play an important role in the protection of authors and artists against unfair contractual practices. This applies in particular for the possibility explicitly recognized in the Golden Earring judgment to cancel an operating agreement, a power which is not regulated in Chapter Ia Copyright Act. In addition, the reasonableness and fairness require the operator to retro-transfer the rights granted. Admittedly sufficiently serious grounds will in principle be required before an agreement can be terminated, but long-term exploitation agreements for which the investments of the music publishers are recouped appear can apparently be cancelled. In practice this could mean that the dissolution scheme of art. 25 (e) Copyright Act will be invoked especially in the case of exploitation agreements for a fixed term."""
Brianna Schofield,South Africa,Copyright Review Commission Report (2011),"Department of Trade and Industry, Republic of South Africa",https://www.gov.za/sites/www.gov.za/files/CRC%20REPORT.pdf,,"Recommending, in part, that South Africa’s Copyright Act be amended to provide for the reversion of assigned rights to royalties 25 years after the assignment of such rights. See Chapter 10, paragraph 10.12.10."
Brianna Schofield,South Africa,Letter in Support of Carefully Drafted Termination Provisions in South Africa's Copyright Laws,Authors Alliance,https://www.authorsalliance.org/wp-content/uploads/2018/05/20180516_AuAll_SATerminationLeg.pdf,,Letter to South African parliament from Authors Alliance in support of the introduction of carefully crafted termination provisions into South Africa’s copyright laws.
Cynthia Khoo,Canada,Dentons Entertainment & Media Law Signal (Blog),Bob Tarantino,http://www.entertainmentmedialawsignal.com/tag/reversionary-interest-2,,"Search page results for articles giving an overview of different aspects and issues arising from reversionary rights, as well as following new developments in United States from a Canadian perspective, on Entertainment and Media Law Signal, a blog by the law firm Dentons. Example titles: - Copyright Reversions and Loan-Out Corporations - Dick Tracy Returns: The Importance of Specificity in Reversion Clauses - Reclaiming Old Masters (“Old Masters” as in Records, Not Paintings)"
Cynthia Khoo,Canada,Additional Resources (Not Open-Access /Paywalled),Various,See summary,,"(With thanks to Lucie Guibault) ""The History of Copyright Contract in Relation to the Freelancer"", Giuseppina D'Agostino, Intellectual Property Journal 2222 I.P.J. 273 ""Negotiating with Ghosts: The Arbitrariness of Copyright Terms Intellectual Property Journal"", Jordan Fine, Intellectual Property Journal 2929 I.P.J. 333 Copyright, contracts, creators : new media, new rules Giuseppina D'Agostino (Cheltenham: Edward Elgar, c2010)"
Cynthia Khoo,Canada,"""Once After a Lifetime: An Author’s Life, Death and Copyright Reversionary Interests in Canada""",Cox & Palmer,https://www.coxandpalmerlaw.com/en/home/publications/once-after-a-lifetime-an-author-s-life-death-and-c.aspx,,"Overview of assignment and reversionary interests in copyright, under sections 13(4), 14(1), and 14(2) of the current Copyright Act (R.S.C. 1985, c. C-42)."
Rocco Rinaldo,Australia,Lahore Copyright & Designs (Not Open-Access/Paywalled),"Lindgren, K; Lahore, J; Rothnie, W; Maddigan, P,",https://www.lexisnexis.com.au/en/products-and-services/legal-research/intellectual-property/copyright-and-designs,,"Explanatory paragraph about the limited Reversionary Right under Australian Copyright Law can be found at paragraph [22,065]"
Rocco Rinaldo,Australia,"The Law of Intellectual Property: Copyright, Designs and Confidential and Information (Not Open-Access/Paywalled)",S Ricketson and C Creswell,https://legal.thomsonreuters.com.au/law-of-intellectual-property-online/productdetail/37222?showform=yes,,"Information about the limited Reversionary Right under Australian Copyright Law can be found in the following paragraphs [14,290], [14,295] and [14,400]."
